FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-21,MSP,MKE,DL,0,0.16
2025-04-20,PIE,TYS,G4,0,0.24531661857846307
2025-04-28,MSP,SEA,AS,1,0.1
2025-04-24,ORD,LEX,MQ,0,0.28633598112725084
2025-04-03,MIA,TLH,MQ,0,0.043333333333333335
2025-04-02,IND,LGA,YX,0,0.06666666666666667
2025-04-15,PHL,PWM,AA,0,0.17230485202769605
2025-04-07,DFW,ATL,AA,1,0.34736408108391387
2025-04-30,PHX,BOI,OO,1,0.03666666666666667
2025-04-10,IAH,LAX,UA,0,0.09666666666666666
2025-04-12,SIT,JNU,AS,0,0.395316618578463
2025-04-27,DCA,ROC,OH,0,0.19408161116078415
2025-04-19,DCA,SAN,AS,1,0.24666666666666667
2025-04-13,SLC,PHX,DL,1,0.1256473041178789
2025-04-26,DTW,ATL,DL,0,0.27782214212840217
2025-04-01,ATL,IAD,DL,0,0.07666666666666666
2025-04-11,SFO,LAX,DL,1,0.23666666666666666
2025-04-12,DEN,EWR,UA,0,0.056666666666666664
2025-04-10,EWR,FLL,UA,0,0.09666666666666666
2025-04-05,SFO,GEG,OO,0,0.36333333333333334
2025-04-09,OKC,SEA,AS,0,0.44
2025-04-08,LGA,MDW,WN,0,0.03
2025-04-26,SAN,SMF,WN,0,0.15666666666666668
2025-04-06,DAL,SRQ,WN,0,0.04
2025-04-04,SNA,SEA,AS,0,0.1560649857421582
2025-04-25,LGA,SDF,YX,0,0.13666666666666666
2025-04-03,BNA,DEN,WN,1,0.49
2025-04-27,DEN,MSN,F9,0,0.26
2025-04-21,STL,FLL,WN,1,0.056666666666666664
2025-04-15,LGA,FLL,NK,0,0.056666666666666664
2025-04-26,MBS,ORD,OO,0,0.49
2025-04-25,SNA,SEA,AS,1,0.21666666666666667
2025-04-14,ATL,MSY,NK,0,0.1
2025-04-29,DCA,DAY,OH,0,0.05176764037623858
2025-04-04,SLC,XNA,OO,1,0.09231397078454556
2025-04-05,HOU,MSY,WN,0,0.19
2025-04-17,ICT,DEN,WN,0,0.02
2025-04-14,SAT,OKC,WN,0,0.023333333333333334
2025-04-07,RNO,LAS,WN,0,0.10534041286224692
2025-04-22,CMH,DFW,MQ,0,0.2293983190754915
2025-04-03,PIE,SGF,G4,1,0.22231397078454554
2025-04-28,BNA,LAS,WN,0,0.13333333333333333
2025-04-20,IAD,DEN,UA,0,0.13
2025-04-17,STL,BWI,WN,0,0.006666666666666667
2025-04-12,SAN,DEN,WN,0,0.08510539280116054
2025-04-21,SLC,SEA,AS,0,0.03333333333333333
2025-04-19,SLC,DFW,AA,1,0.37333333333333335
2025-04-01,STL,TUL,WN,0,0.03198328524512972
2025-04-16,SFO,MIA,UA,0,0.12333333333333334
2025-04-20,DAL,TUL,WN,0,0.19148616100115132
2025-04-22,ATL,MIA,AA,0,0.11
2025-04-14,DEN,ATL,F9,0,0.26231397078454555
2025-04-29,ORD,BNA,MQ,0,0.07966931446058416
2025-04-03,FAT,PHX,OO,1,0.4806871704826243
2025-04-01,BOS,CHS,DL,0,0.4263359811272508
2025-04-07,ATL,PHL,DL,1,0.31
2025-04-13,IAH,LAX,UA,0,0.42444394226886195
2025-04-17,TPA,IND,F9,1,0.2131053367911008
2025-04-27,ORF,ATL,DL,0,0.19
2025-04-07,SLC,PHL,DL,0,0.11666666666666667
2025-04-18,SDF,LGA,YX,0,0.11
2025-04-04,SAN,DFW,AA,1,0.09
2025-04-30,IAH,TUL,OO,0,0.04633598112725083
